id,codigo,id_aerolinea,id_origen,id_destino,id_avion,id_ruta,fecha_salida,fecha_llegada,velocidad,altitud,estado
33,BTA1165,3,35,61,9,107,2022-05-25T21:46:00.0,2022-05-25T23:04:00.0,260.82,12667.2,aceptado
48,LAW9752,12,17,73,22,133,2022-06-01T08:38:00.0,2022-06-01T23:06:00.0,236.16,11420.08,aceptado
64,LUD9372,14,39,37,10,160,2022-05-13T09:46:00.0,2022-05-14T16:00:00.0,258.84,12320.04,aceptado
76,ETA1424,6,23,65,4,42,2022-04-08T08:46:00.0,2022-04-09T20:48:00.0,256.46,12395.69,aceptado
99,UAN2468,18,35,33,13,214,2022-06-18T18:52:00.0,2022-06-18T19:32:00.0,275.29,11794.55,publicado
95,XLE7933,20,57,61,1,209,2022-04-09T23:49:00.0,2022-04-10T00:22:00.0,222.53,12525.91,publicado
39,NCY3933,16,39,15,26,118,2022-05-31T01:37:00.0,2022-05-31T19:41:00.0,230.51,11955.86,aceptado
111,COG7539,4,77,53,3,240,2022-06-06T09:04:00.0,2022-06-07T23:17:00.0,254.09,10601.65,publicado
14,NCY8756,16,37,33,26,80,2022-05-05T05:01:00.0,2022-05-05T15:06:00.0,229.72,11153.88,pendiente
63,KEA5177,9,39,65,21,156,2022-04-24T12:07:00.0,2022-04-24T17:14:00.0,224.73,11346.78,aceptado
44,LRC7787,13,25,23,25,128,2022-04-06T04:03:00.0,2022-04-06T10:10:00.0,227.98,11396.23,aceptado
109,LAM9554,10,15,19,19,238,2022-05-07T09:17:00.0,2022-05-07T17:17:00.0,257.59,12068.46,publicado
74,EAL6494,5,27,73,16,173,2022-06-24T08:27:00.0,2022-06-24T10:34:00.0,271.73,12073.36,aceptado
97,LAW1134,12,27,5,12,211,2022-06-24T17:43:00.0,2022-06-25T13:26:00.0,278.39,10485.24,publicado
112,XLE5111,20,41,61,16,17,2022-04-26T01:45:00.0,2022-04-26T15:20:00.0,239.13,12541.55,publicado
137,KAI2247,8,41,61,6,71,2022-06-09T18:00:00.0,2022-06-09T20:00:00.0,230.26,11532.03,aceptado
128,BTA8394,3,61,69,1,269,2022-04-14T12:54:00.0,2022-04-14T19:34:00.0,257.5,10866.78,publicado
85,XLE1416,20,41,77,2,196,2022-06-17T01:00:00.0,2022-06-17T07:51:00.0,247.28,11607.04,rechazado
115,KAI3589,8,67,39,22,245,2022-04-30T07:57:00.0,2022-05-01T06:27:00.0,247.32,12549.47,publicado
87,ADC9112,1,45,77,3,199,2022-05-18T03:14:00.0,2022-05-18T15:29:00.0,228.45,10089.63,rechazado
20,KEA2947,9,67,19,22,90,2022-06-08T10:59:00.0,2022-06-08T22:34:00.0,228.03,12954.25,pendiente
37,XLE5463,20,17,51,1,114,2022-05-23T05:06:00.0,2022-05-23T16:57:00.0,274.62,10086.16,aceptado
28,KAI7192,8,41,45,20,103,2022-04-24T16:15:00.0,2022-04-25T23:14:00.0,258.11,10837.3,aceptado
131,LAM9574,10,57,9,7,271,2022-04-16T01:25:00.0,2022-04-16T21:11:00.0,231.73,11905.39,publicado
35,LAW9189,12,51,15,11,111,2022-05-19T05:39:00.0,2022-05-19T10:33:00.0,269.74,12279.84,aceptado
75,AZI8574,2,73,53,15,134,2022-05-31T13:04:00.0,2022-05-31T15:19:00.0,256.42,12629.87,aceptado
11,LAT1186,11,53,45,19,75,2022-04-01T06:46:00.0,2022-04-01T07:33:00.0,237.47,11864.77,pendiente
142,UCA2799,19,41,61,8,143,2022-05-24T10:40:00.0,2022-05-24T13:20:00.0,222.01,11860.63,aceptado
25,ETA5917,6,7,55,1,22,2022-04-20T07:54:00.0,2022-04-20T20:55:00.0,253.64,10361.91,aceptado
104,IBE2338,7,41,61,3,137,2022-04-23T10:02:00.0,2022-04-23T13:01:00.0,264.68,11348.28,publicado
34,LUD7112,14,63,17,21,108,2022-04-17T06:50:00.0,2022-04-17T17:22:00.0,233.94,11729.15,aceptado
46,IBE3388,7,15,73,8,131,2022-05-09T00:56:00.0,2022-05-09T01:22:00.0,261.41,10575.2,aceptado
32,COG7359,4,65,65,13,106,2022-04-10T13:03:00.0,2022-04-10T22:23:00.0,236.78,12076.25,aceptado
42,QAF8273,17,5,47,18,123,2022-04-22T06:15:00.0,2022-04-22T08:09:00.0,233.15,11828.08,aceptado
100,LAT5532,11,33,17,24,234,2022-06-16T04:02:00.0,2022-06-17T11:47:00.0,253.27,12078.5,publicado
82,LAW1451,12,61,31,11,191,2022-05-08T08:04:00.0,2022-05-08T12:22:00.0,250.34,10487.64,aceptado
96,LAW6318,12,47,55,4,210,2022-05-09T13:50:00.0,2022-05-09T18:06:00.0,252.86,10347.72,publicado
116,NCY5615,16,47,27,8,246,2022-05-09T04:32:00.0,2022-05-09T07:50:00.0,275.62,10264.03,publicado
40,AZI6817,2,75,69,9,121,2022-05-07T07:09:00.0,2022-05-07T07:47:00.0,270.24,12044.16,aceptado
36,COG6548,4,55,59,16,113,2022-05-26T09:21:00.0,2022-05-26T23:45:00.0,253.66,11079.69,aceptado
56,ADC3293,1,5,35,20,32,2022-06-26T15:10:00.0,2022-06-26T20:27:00.0,222.64,11265.44,aceptado
108,UAN2881,18,57,61,20,208,2022-04-10T15:15:00.0,2022-04-11T09:29:00.0,245.78,10505.68,publicado
141,KAI2657,8,1,73,27,71,2022-06-18T12:00:00.0,2022-06-18T15:10:00.0,230.26,11532.03,aceptado
62,NCY6746,16,49,65,2,153,2022-05-31T05:08:00.0,2022-05-31T12:50:00.0,235.46,11360.17,aceptado
83,LAT5421,11,67,33,22,153,2022-06-06T01:17:00.0,2022-06-06T18:31:00.0,227.11,11060.44,aceptado
47,COG9963,4,45,51,14,132,2022-04-15T00:10:00.0,2022-04-15T03:25:00.0,258.58,10712.04,aceptado
73,COG6236,4,69,9,10,172,2022-04-14T11:02:00.0,2022-04-14T22:44:00.0,240.62,11251.35,aceptado
135,XLE4859,20,43,9,15,122,2022-05-04T10:20:00.0,2022-05-04T20:55:00.0,254.08,11883.87,borrador
71,ADC4365,1,27,31,18,170,2022-04-30T12:29:00.0,2022-05-01T11:19:00.0,251.91,12578.93,aceptado
125,XLE3285,20,75,47,1,264,2022-04-16T03:16:00.0,2022-04-16T03:57:00.0,272.97,12186.59,publicado
117,EAL8271,5,57,19,16,249,2022-05-23T13:45:00.0,2022-05-24T04:53:00.0,247.19,10874.02,publicado
51,KAI8597,8,47,73,22,141,2022-04-04T00:11:00.0,2022-04-04T11:05:00.0,250.11,11101.49,aceptado
24,LRC4781,13,47,65,3,43,2022-05-01T12:06:00.0,2022-05-02T05:30:00.0,274.39,10757.69,pendiente
59,AZI1524,2,11,61,9,151,2022-06-16T00:29:00.0,2022-06-16T18:34:00.0,238.99,11094.91,aceptado
29,BTA5535,3,59,43,28,104,2022-04-03T06:25:00.0,2022-04-03T18:20:00.0,267.77,12212.76,aceptado
106,QAF6392,17,29,11,25,237,2022-05-31T16:00:00.0,2022-05-31T18:42:00.0,271.68,12915.15,publicado
91,BTA1332,3,31,67,22,207,2022-05-15T02:40:00.0,2022-05-15T21:12:00.0,248.27,12396.77,borrador
60,LRC9582,13,29,3,13,100,2022-06-25T12:01:00.0,2022-06-25T18:27:00.0,241.48,10427.25,aceptado
123,EAL7933,5,71,47,1,263,2022-04-21T00:37:00.0,2022-04-21T12:29:00.0,254.06,12048.69,publicado
41,ETA8691,6,21,75,6,122,2022-06-07T18:53:00.0,2022-06-07T19:22:00.0,258.44,12444.08,aceptado
81,BTA2668,3,5,77,25,188,2022-06-02T07:14:00.0,2022-06-02T21:20:00.0,272.9,12079.81,aceptado
10,ETA6487,6,35,53,13,74,2022-06-12T00:52:00.0,2022-06-12T12:39:00.0,224.42,10944.23,pendiente
80,ADC7913,1,61,59,17,123,2022-06-08T05:42:00.0,2022-06-08T05:53:00.0,268.03,12946.48,aceptado
146,UCA2399,19,41,61,8,143,2022-05-18T10:50:00.0,2022-05-18T14:40:00.0,222.01,11860.63,aceptado
53,KAI9172,8,11,9,5,142,2022-05-18T04:16:00.0,2022-05-18T05:46:00.0,265.11,11763.25,aceptado
57,NCY5888,16,71,21,26,148,2022-04-06T06:52:00.0,2022-04-06T14:41:00.0,264.77,12288.05,aceptado
88,LAT6973,11,49,23,27,201,2022-06-20T08:48:00.0,2022-06-20T16:50:00.0,267.47,10085.93,rechazado
110,LRC4743,13,71,71,17,239,2022-04-03T03:32:00.0,2022-04-03T21:58:00.0,224.98,11512.43,publicado
27,BTA6437,3,29,1,13,102,2022-06-16T00:51:00.0,2022-06-16T10:35:00.0,265.61,10730.34,aceptado
5,UAN5954,18,49,71,20,67,2022-05-27T14:57:00.0,2022-05-27T17:59:00.0,235.74,12449.56,pendiente
139,KAI2357,8,11,73,6,71,2022-06-14T10:00:00.0,2022-06-14T15:00:00.0,230.26,11532.03,aceptado
17,NCY3184,16,71,55,15,86,2022-04-02T15:26:00.0,2022-04-03T04:04:00.0,240.8,12907.39,pendiente
129,COG4299,4,23,13,1,270,2022-04-19T04:19:00.0,2022-04-20T06:18:00.0,230.01,11660.58,publicado
86,NCY4311,16,71,49,4,66,2022-05-02T03:59:00.0,2022-05-02T17:29:00.0,240.39,10159.21,rechazado
